Participant_ID,Gender,Ethnicity,Language_Status,Father_education_30,Father_education_lang_30,Mother_education_30,Mother_education_lang_30,Chronological_age_30,Input_percent_Eng_home_30,Chronological_age_36,Input_percent_Eng_home_36,Chronological_age_42,Input_percent_Eng_home_42,Chronological_age_48,Input_percent_Eng_home_48
R2130Mo107,0,2,1,5,1,4,2,30.17,40.0,35.87,27,42.0,40,48.03,50
R2130Mo108,1,2,1,4,2,3,2,30.3,30.0,35.97,0,41.77,20,47.87,0
R2130Mo109,0,2,1,4,1,4,1,29.77,75.0,-997.0,-997,-997.0,-997,48.03,60
R2130Mo111,1,2,1,5,2,5,1,30.7,5.0,36.9,0,-997.0,-997,48.37,25
R2130Mo112,0,2,1,4,1,5,1,30.07,20.0,36.63,5,42.4,5,48.27,50
R2130Mo114,0,2,1,2,2,2,1,30.63,40.0,36.87,50,43.0,30,47.87,30
R2130Mo116,1,2,1,4,1,4,2,30.57,40.0,35.93,20,42.53,40,48.4,65
R2130Mo117,1,2,1,2,2,1,1,30.17,30.0,35.87,5,42.27,10,47.8,2
R2130Mo118,1,2,1,3,2,2,2,30.2,40.0,37.0,40,42.13,50,48.9,60
R2130Mo120,1,2,1,4,2,4,2,30.77,0.0,36.53,10,-997.0,-997,-997.0,-997
R2130Mo122,1,2,1,2,1,4,2,30.17,90.0,36.2,80,41.97,70,47.9,80
R2130Mo123,1,3,1,3,1,3,1,30.83,5.0,36.4,0,42.47,0,49.03,0
R2130Mo125,0,2,1,4,2,4,2,30.77,0.0,-997.0,-997,42.57,0,48.8,0
R2130Mo126,0,2,1,4,1,3,1,30.2,80.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo127,0,2,1,3,2,2,2,30.33,5.0,36.07,5,41.97,10,48.03,20
R2130Mo128,1,2,1,2,1,2,2,30.77,10.0,-997.0,-997,-997.0,-997,48.97,20
R2130Mo129,0,2,1,2,2,2,1,30.2,10.0,36.57,20,42.03,15,48.1,25
R2130Mo130,1,2,1,4,1,3,1,30.0,8.0,36.97,10,42.1,20,48.67,0
R2130Mo131,1,2,1,4,1,4,2,30.07,30.0,36.43,0,42.37,0,48.73,0
R2130Mo132,0,2,1,2,2,3,2,30.67,50.0,36.27,30,42.2,30,48.37,50
R2130Mo133,0,2,1,5,1,4,2,30.7,0.0,36.3,0,42.13,20,49.1,20
R2130Mo134,1,2,1,4,2,5,2,30.0,0.0,-997.0,-997,42.0,0,48.2,0
R2130Mo135,1,2,1,4,1,4,1,30.07,40.0,35.9,30,42.77,30,48.97,30
R2130Mo136,1,2,1,5,1,3,2,30.0,60.0,35.93,70,42.0,50,48.97,50
R2130Mo137,1,2,1,5,1,4,1,30.23,10.0,35.8,3,42.4,10,47.9,5
R2130Mo138,0,2,1,4,1,5,1,29.87,70.0,35.9,90,41.8,60,48.23,70
R2130Mo139,1,2,1,5,1,3,1,30.43,5.0,35.87,30,41.83,30,48.27,40
R2130Mo140,1,2,1,-998,-998,4,1,30.9,30.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo141,1,2,1,4,2,4,2,30.67,50.0,36.07,30,42.63,25,48.03,40
R2130Mo143,0,2,1,2,1,2,2,30.1,0.0,36.1,0,42.77,0,48.9,10
R2130Mo144,1,2,1,2,1,5,1,30.4,20.0,36.5,20,41.9,10,48.2,10
R2130Mo145,1,2,1,3,1,4,2,30.93,0.0,36.27,0,42.5,0,49.0,5
R2130Mo146,0,3,1,3,1,4,1,31.1,60.0,-997.0,-997,-997.0,-997,-997.0,-997
