item,itemID,type,choices,complexity_category,definition,gloss
cáis,item_187,FOOD AND DRINK,produces; doesn't produce,,cáis,cheese
cheese,item_188,FOOD AND DRINK,produces; doesn't produce,,cheese,cheese
calógarbhair,item_189,FOOD AND DRINK,produces; doesn't produce,,calógarbhair,cornflakes
cornflakes,item_190,FOOD AND DRINK,produces; doesn't produce,,cornflakes,cornflakes
caorafínúna,item_191,FOOD AND DRINK,produces; doesn't produce,,caorafínúna,grapes
grapes,item_192,FOOD AND DRINK,produces; doesn't produce,,grapes,grapes
ceapaire,item_193,FOOD AND DRINK,produces; doesn't produce,,ceapaire,sandwich
sandwich,item_194,FOOD AND DRINK,produces; doesn't produce,,sandwich,sandwich
cnaipínísicín,item_195,FOOD AND DRINK,produces; doesn't produce,,cnaipínísicín,chickennuggets
chickennuggets,item_196,FOOD AND DRINK,produces; doesn't produce,,chickennuggets,chickennuggets
cnónna,item_197,FOOD AND DRINK,produces; doesn't produce,,cnónna,nuts
nuts,item_198,FOOD AND DRINK,produces; doesn't produce,,nuts,nuts
coke,item_199,FOOD AND DRINK,produces; doesn't produce,,coke_cóc,coke
criospaí,item_200,FOOD AND DRINK,produces; doesn't produce,,criospaí_téiteo,crisps
crisps,item_201,FOOD AND DRINK,produces; doesn't produce,,crisps_Taytos,crisps
cucumber,item_202,FOOD AND DRINK,produces; doesn't produce,,cucumber_cúcamar,cucumber
deoch,item_203,FOOD AND DRINK,produces; doesn't produce,,deoch,drink
drink,item_204,FOOD AND DRINK,produces; doesn't produce,,drink,drink
taoschnó,item_205,FOOD AND DRINK,produces; doesn't produce,,taoschnó,donut
donut,item_206,FOOD AND DRINK,produces; doesn't produce,,donut_ie,donut
feoil,item_207,FOOD AND DRINK,produces; doesn't produce,,feoil,feoil
meat,item_208,FOOD AND DRINK,produces; doesn't produce,,meat,meat
glóthach,item_209,FOOD AND DRINK,produces; doesn't produce,,glóthach,jelly
jelly,item_210,FOOD AND DRINK,produces; doesn't produce,,jelly,jelly
iasc,item_211,FOOD AND DRINK,produces; doesn't produce,,iasc,fish
fish,item_212,FOOD AND DRINK,produces; doesn't produce,,fish,fish
im,item_213,FOOD AND DRINK,produces; doesn't produce,,im,butter
butter,item_214,FOOD AND DRINK,produces; doesn't produce,,butter,butter
yoghurt,item_215,FOOD AND DRINK,produces; doesn't produce,,yoghurt_iógairt,yoghurt
ispíní,item_216,FOOD AND DRINK,produces; doesn't produce,,ispíní_sasagaí,sausages
sausages,item_217,FOOD AND DRINK,produces; doesn't produce,,sausages,sausages
leite,item_218,FOOD AND DRINK,produces; doesn't produce,,leite_praiseach,leite
porridge,item_219,FOOD AND DRINK,produces; doesn't produce,,porridge,porridge
liamhás,item_220,FOOD AND DRINK,produces; doesn't produce,,liamhás_más,ham
ham,item_221,FOOD AND DRINK,produces; doesn't produce,,ham,ham
líreacán,item_222,FOOD AND DRINK,produces; doesn't produce,,líreacán,lollipop
lollipop,item_223,FOOD AND DRINK,produces; doesn't produce,,lollipop,lollipop
mil,item_224,FOOD AND DRINK,produces; doesn't produce,,mil,honey
honey,item_225,FOOD AND DRINK,produces; doesn't produce,,honey,honey
milseáin,item_226,FOOD AND DRINK,produces; doesn't produce,,milseáin,sweets
sweets,item_227,FOOD AND DRINK,produces; doesn't produce,,sweets,sweets
oráíste,item_228,FOOD AND DRINK,produces; doesn't produce,,oráíste,orange
orange,item_229,FOOD AND DRINK,produces; doesn't produce,,orange,orange
pancóg,item_230,FOOD AND DRINK,produces; doesn't produce,,pancóg,pancake
pancake,item_231,FOOD AND DRINK,produces; doesn't produce,,pancake,pancake
pasta,item_232,FOOD AND DRINK,produces; doesn't produce,,pasta_ie,pasta
piorra,item_233,FOOD AND DRINK,produces; doesn't produce,,piorra,pear
pear,item_234,FOOD AND DRINK,produces; doesn't produce,,pear,pear
pizza,item_235,FOOD AND DRINK,produces; doesn't produce,,pizza_ie,pizza
piseanna,item_236,FOOD AND DRINK,produces; doesn't produce,,piseanna,peas
peas,item_237,FOOD AND DRINK,produces; doesn't produce,,peas,peas
pónairí,item_238,FOOD AND DRINK,produces; doesn't produce,,pónairí,beans
beans,item_239,FOOD AND DRINK,produces; doesn't produce,,beans,beans
práta,item_240,FOOD AND DRINK,produces; doesn't produce,,práta_fata,potato
potato,item_241,FOOD AND DRINK,produces; doesn't produce,,potato,potato
reoiteog,item_242,FOOD AND DRINK,produces; doesn't produce,,reoiteog,icepop
icepop,item_243,FOOD AND DRINK,produces; doesn't produce,,icepop,icepop
rísín,item_244,FOOD AND DRINK,produces; doesn't produce,,rísín,raisin
raisin,item_245,FOOD AND DRINK,produces; doesn't produce,,raisin,raisin
salann,item_246,FOOD AND DRINK,produces; doesn't produce,,salann,salt
salt,item_247,FOOD AND DRINK,produces; doesn't produce,,salt,salt
sceallóga,item_248,FOOD AND DRINK,produces; doesn't produce,,sceallóga,chips
chips,item_249,FOOD AND DRINK,produces; doesn't produce,,chips,chips
seacláid,item_250,FOOD AND DRINK,produces; doesn't produce,,seacláid,chocolate
chocolate,item_251,FOOD AND DRINK,produces; doesn't produce,,chocolate,chocolate
slisíní,item_252,FOOD AND DRINK,produces; doesn't produce,,slisíní_bagúin,rashers
rashers,item_253,FOOD AND DRINK,produces; doesn't produce,,rashers,rashers
spagettiie,item_254,FOOD AND DRINK,produces; doesn't produce,,spagettiie,spagettiie
sútalún,item_255,FOOD AND DRINK,produces; doesn't produce,,sútalún,strawberry
strawberry,item_256,FOOD AND DRINK,produces; doesn't produce,,strawberry,strawberry
sú,item_257,FOOD AND DRINK,produces; doesn't produce,,sú,juice
juice,item_258,FOOD AND DRINK,produces; doesn't produce,,juice,juice
subh,item_259,FOOD AND DRINK,produces; doesn't produce,,subh,jam
jam,item_260,FOOD AND DRINK,produces; doesn't produce,,jam,jam
tae,item_261,FOOD AND DRINK,produces; doesn't produce,,tae,tea
tea,item_262,FOOD AND DRINK,produces; doesn't produce,,tea,tea
